region,current confirmed cases,deaths,recovered
Australia,1556,7,119
Austria,4276,21,9
Belgium,3254,88,401
Brazil,1602,25,2
Canada,1540,20,0
Czechia,1229,1,6
Denmark,1533,24,15
France,14054,676,2207
Germany,28325,118,422
"Hubei, China",4765,3153,59882
Iran,12861,1812,8376
Israel,1200,1,37
Italy,50418,6077,7432
Malaysia,1345,14,159
Netherlands,4547,214,3
Norway,2531,10,6
Portugal,2023,23,14
South Korea,5684,111,3166
Spain,27528,2206,3355
Sweden,2005,25,16
Switzerland,8298,118,131
Turkey,1206,30,0
United Kingdom,5434,336,140
United States,40558,489,0